S.No,Date,Product Name,MRP,Current Price,Discount percentage,Ratings,Number of Reviews,Product Image URL,Product Page URL,Local Image Path
23,2026-02-01,Rain & Rainbow,,590,63% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/9/o/k/xxl-2701-ss-1148-35-rain-rainbow-original-imah8yc3qe7q4hnh.jpeg?q=70,https://www.flipkart.com/rain-rainbow-women-printed-a-line-kurta/p/itme68a90b2875ed?pid=KTAH3ZVAY3WK4ZMW&lid=LSTKTAH3ZVAY3WK4ZMW26K3GS&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_23&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAH3ZVAY3WK4ZMW.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\23_Rain & Rainbow.jpeg
24,2026-02-01,Rain & Rainbow,,807,55% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/y/w/l/s-2800-ss-1155-04-rain-rainbow-original-imah7zbyghhybhj6.jpeg?q=70,https://www.flipkart.com/rain-rainbow-women-floral-print-straight-kurta/p/itm5c6e372e905bd?pid=KTAH3YUPFNVQUG9R&lid=LSTKTAH3YUPFNVQUG9RMLGKAE&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_24&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAH3YUPFNVQUG9R.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\24_Rain & Rainbow.jpeg
25,2026-02-01,ETHNIFLAIR,,463,76% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/s/8/8/l-efank234-ethniflair-original-imah5hvzbcfqyjad.jpeg?q=70,https://www.flipkart.com/ethniflair-women-floral-print-straight-kurta/p/itm38330ce2df844?pid=KTAH5HWYZNPAUZ7A&lid=LSTKTAH5HWYZNPAUZ7AEYGEYB&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_25&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAH5HWYZNPAUZ7A.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\25_ETHNIFLAIR.jpeg
26,2026-02-01,VASHTI BY ANUPAMA,,448,18% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/b/v/q/s-short-kurti-vashti-by-anupama-original-imahfyqkrq5c8jep.jpeg?q=70,https://www.flipkart.com/vashti-anupama-women-printed-straight-kurta/p/itm67adf7e5ba7a6?pid=KTAHFYZVTCYEGJCN&lid=LSTKTAHFYZVTCYEGJCNQ1VWIB&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_26&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHFYZVTCYEGJCN.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\26_VASHTI BY ANUPAMA.jpeg
27,2026-02-01,AKANSHA,,398,60% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/p/n/s/m-green-short-kurti-akansha-original-imahj26dtu3gh9yz.jpeg?q=70,https://www.flipkart.com/akansha-women-floral-print-printed-straight-kurta/p/itmc3e880b7a7c59?pid=KTAHJ26D6TT3K988&lid=LSTKTAHJ26D6TT3K9882HTG3X&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_27&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHJ26D6TT3K988.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\27_AKANSHA.jpeg
28,2026-02-01,Women Block Print Pure Cotton Straight Kurta,,988,47% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/k/7/f/m-maroon-miraa-original-imahgq92w6mcz42m.jpeg?q=70,https://www.flipkart.com/miraa-women-block-print-straight-kurta/p/itmc6169ce4fa947?pid=KTAHGQ937RSDVEMZ&lid=LSTKTAHGQ937RSDVEMZNN0O6U&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_28&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHGQ937RSDVEMZ.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\28_Women Block Print Pure Cotton Straight Kurta.jpeg
29,2026-02-01,CLANGER,,348,76% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/g/4/v/l-trikone-clanger-resized-2-original-imahgzk6jgety6nr.jpeg?q=70,https://www.flipkart.com/clanger-women-floral-print-straight-kurta/p/itmbd219d6ba6d0f?pid=KTAHGZK6APKZJJCX&lid=LSTKTAHGZK6APKZJJCX7NBHXN&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_29&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHGZK6APKZJJCX.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\29_CLANGER.jpeg
30,2026-02-01,Varanga,,849,78% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/q/s/a/m-vkur1790-varanga-original-imagued6u7tkrkzb.jpeg?q=70,https://www.flipkart.com/varanga-women-floral-print-a-line-kurta/p/itmc0c46aae54282?pid=KTAGUED8CSZU9VF3&lid=LSTKTAGUED8CSZU9VF3TKEHVC&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_30&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAGUED8CSZU9VF3.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\30_Varanga.jpeg
31,2026-02-01,Rain & Rainbow,,590,63% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/3/u/k/l-2701-ss-1148-13-rain-rainbow-original-imah3zf5navzqaas.jpeg?q=70,https://www.flipkart.com/rain-rainbow-women-abstract-a-line-kurta/p/itmb2be8cd97678e?pid=KTAH3ZF8JGFZ4ZWP&lid=LSTKTAH3ZF8JGFZ4ZWPCGDGLD&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_31&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAH3ZF8JGFZ4ZWP.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\31_Rain & Rainbow.jpeg
32,2026-02-01,Women Printed Viscose Rayon Straight Kurta,,878,45% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/8/q/t/xxl-bakes-blue20895-biba-original-imah43bvfqrugdd6.jpeg?q=70,https://www.flipkart.com/biba-women-printed-straight-kurta/p/itmf11bca59a44cc?pid=KTAH43BVKZXSTMSN&lid=LSTKTAH43BVKZXSTMSNZINSJC&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_32&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAH43BVKZXSTMSN.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\32_Women Printed Viscose Rayon Straight Kurta.jpeg
33,2026-02-01,HERE&NOW,,811,42% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/8/4/p/-original-imahfs6ksztzzpgs.jpeg?q=70,https://www.flipkart.com/here-now-women-printed-straight-kurta/p/itm1797467fe340a?pid=KTAHFHH3BB8ZMHFK&lid=LSTKTAHFHH3BB8ZMHFKGOAARZ&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_33&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHFHH3BB8ZMHFK.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\33_HERE&NOW.jpeg
34,2026-02-01,Women Printed Pure Cotton Tunic Kurta,,499,75% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/f/s/r/xs-hks1292-nayo-original-imahg87czrbxd4ag.jpeg?q=70,https://www.flipkart.com/nayo-women-printed-tunic-kurta/p/itm2cb5f0b58bd53?pid=KTAHG87CVVDCHBJQ&lid=LSTKTAHG87CVVDCHBJQQPJRND&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_34&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHG87CVVDCHBJQ.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\34_Women Printed Pure Cotton Tunic Kurta.jpeg
35,2026-02-01,fusion by glitchez,,345,84% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/b/m/g/xs-35004908-fusion-by-glitchez-original-imahhsgyf7ynqqyk.jpeg?q=70,https://www.flipkart.com/fusion-glitchez-women-printed-straight-kurta/p/itm6a0fa26bc244d?pid=KTAHHSG5YVHUVQZD&lid=LSTKTAHHSG5YVHUVQZDN72APU&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_35&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHHSG5YVHUVQZD.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\35_fusion by glitchez.jpeg
36,2026-02-01,Rain & Rainbow,,628,65% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/a/n/i/l-2800-ss-1225-04-rain-rainbow-original-imah48p3yk4qu7hh.jpeg?q=70,https://www.flipkart.com/rain-rainbow-women-self-design-straight-kurta/p/itm7000439ff135a?pid=KTAH48P3PKJYNYJS&lid=LSTKTAH48P3PKJYNYJSF4MXBL&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_36&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAH48P3PKJYNYJS.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\36_Rain & Rainbow.jpeg
37,2026-02-01,IndraStyle,,398,73% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/q/2/h/s-30411701-anouk-original-imahavv2hgtbcxsy.jpeg?q=70,https://www.flipkart.com/indrastyle-women-embellished-straight-kurta/p/itma3f93b2fef980?pid=KTAHEGTDXYZWW2TZ&lid=LSTKTAHEGTDXYZWW2TZTHOZM1&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_37&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAHEGTDXYZWW2TZ.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\37_IndraStyle.jpeg
38,2026-02-01,SANGOURI,,253,74% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/t/w/o/m-1062-shortkurta-sangouri-original-imahdq2hhbcr2wbs.jpeg?q=70,https://www.flipkart.com/sangouri-women-printed-straight-kurta/p/itme79a9d6f70a3a?pid=KTAGYXFH25JHSEKX&lid=LSTKTAGYXFH25JHSEKXRNHYRW&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_38&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAGYXFH25JHSEKX.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\38_SANGOURI.jpeg
39,2026-02-01,Women Printed Cotton Blend Straight Kurta,,196,82% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/n/8/8/l-shortkr1359b-surhi-resized-2-original-imaha6brduagzywg.jpeg?q=70,https://www.flipkart.com/surhi-women-printed-straight-kurta/p/itm11379ed567f8a?pid=KTAH78TPDNYYQEN3&lid=LSTKTAH78TPDNYYQEN3LIZ0RC&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_39&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAH78TPDNYYQEN3.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\39_Women Printed Cotton Blend Straight Kurta.jpeg
40,2026-02-01,Rain & Rainbow,,717,55% off,N/A,N/A,https://rukminim2.flixcart.com/image/612/612/l1mh7rk0/kurta/l/a/a/l-28000-ss-1101-04-rain-rainbow-original-imagd5g2xkct5th7.jpeg?q=70,https://www.flipkart.com/rain-rainbow-women-printed-straight-kurta/p/itm15a66fea06a59?pid=KTAGD5G22MH2SQCJ&lid=LSTKTAGD5G22MH2SQCJFIYIH3&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Frkt&srno=b_1_40&otracker=browse&fm=organic&iid=e9d2b9aa-2f3d-4949-bd48-5a1a94a0226c.KTAGD5G22MH2SQCJ.SEARCH&ppt=None&ppn=None&ssid=1du76gcb1c0000001769920502788,images\40_Rain & Rainbow.jpeg
